==6138== NVPROF is profiling process 6138, command: ./build/lulesh/cuda/lulesh -s 10 0 100
==6138== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==6138== Profiling application: ./build/lulesh/cuda/lulesh -s 10 0 100
==6138== Profiling result:
==6138== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",6000,6000,6000
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",12589,13000,12777
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"inst_executed","Instructions Executed",35264,35264,35264
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"inst_issued","Instructions Issued",35679,35748,35680
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",2.078612%,6.978202%,2.946378%
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",85.590887%,91.152965%,89.374259%
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"stall_memory_dependency","Issue Stall Reasons (Data Request)",1.194699%,2.151218%,1.640651%
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"stall_texture","Issue Stall Reasons (Texture)",0.006250%,0.167500%,0.127977%
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"stall_sync","Issue Stall Reasons (Synchronization)",0.000000%,0.000000%,0.000000%
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"stall_other","Issue Stall Reasons (Other)",0.847625%,2.488788%,1.920253%
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",3.471266%,5.678739%,3.879059%
